Kabupaten/Kota,,,
,Proyeksi Penduduk Provinsi Bali Menurut Kabupaten/Kota dan Jenis Kelamin (Ribu Jiwa),,
,Laki-laki,Perempuan,Laki-Laki + Perempuan
,2022,2022,2022
Kab. Jembrana,160.84,160.33,321.16
Kab. Tabanan,232.13,232.41,464.54
Kab. Badung,279.67,278.39,558.06
Kab. Gianyar,260.3,260.61,520.91
Kab. Klungkung,104.31,103.74,208.05
Kab. Bangli,131.09,129.3,260.38
Kab. Karangasem,250.48,246.99,497.47
Kab. Buleleng,403.32,399.43,802.75
Kota Denpasar,374.31,366.67,740.98
Provinsi Bali,2196.46,2177.85,4374.31
