Kabupaten/Kota,,,
,Proyeksi Penduduk Provinsi Bali Menurut Kabupaten/Kota dan Jenis Kelamin (Ribu Jiwa),,
,Laki-laki,Perempuan,Laki-Laki + Perempuan
,2021,2021,2021
Kab. Jembrana,159.63,159.15,318.78
Kab. Tabanan,231.72,231.17,462.89
Kab. Badung,276.96,275.79,552.75
Kab. Gianyar,259.2,258.53,517.73
Kab. Klungkung,103.91,103.42,207.33
Kab. Bangli,130.61,128.73,259.34
Kab. Karangasem,249.86,245.04,494.9
Kab. Buleleng,400.32,396.08,796.39
Kota Denpasar,370.42,362.92,733.34
Provinsi Bali,2182.63,2160.83,4343.45
