Kabupaten/Kota,,,
,Proyeksi Penduduk Provinsi Bali Menurut Kabupaten/Kota dan Jenis Kelamin (Ribu Jiwa),,
,Laki-laki,Perempuan,Laki-Laki + Perempuan
,2024,2024,2024
Kab. Jembrana,163.07,162.56,325.63
Kab. Tabanan,232.82,234.85,467.67
Kab. Badung,285,283.54,568.55
Kab. Gianyar,262.38,264.74,527.12
Kab. Klungkung,104.99,104.32,209.31
Kab. Bangli,131.95,130.35,262.3
Kab. Karangasem,251.6,250.73,502.33
Kab. Buleleng,408.95,405.83,814.79
Kota Denpasar,381.68,373.88,755.57
Provinsi Bali,2222.44,2210.82,4433.26
